created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2025-10-29T15:09:21+00:00,261,210.50,0.11,50.00,16.10,0.22,0.69,,,,
2025-10-29T15:09:46+00:00,262,210.40,0.11,49.90,16.00,0.22,0.69,,,,
2025-10-29T15:10:11+00:00,263,211.40,0.11,50.00,16.20,0.22,0.69,,,,
2025-10-29T15:10:34+00:00,264,211.40,0.11,50.00,16.20,0.22,0.69,,,,
2025-10-29T15:10:54+00:00,265,212.20,0.11,50.00,16.20,0.22,0.68,,,,
2025-10-29T15:11:18+00:00,266,212.20,0.11,50.00,16.30,0.22,0.69,,,,
2025-10-29T15:11:42+00:00,267,212.10,0.11,50.00,16.20,0.22,0.69,,,,
2025-10-29T15:11:59+00:00,268,211.00,0.11,50.00,16.00,0.22,0.69,,,,
2025-10-29T15:13:00+00:00,269,212.30,0.11,50.00,16.30,0.22,0.69,,,,
2025-10-29T15:13:20+00:00,270,212.30,0.11,50.00,16.30,0.22,0.69,,,,
2025-10-29T15:13:51+00:00,271,212.30,0.11,49.90,16.20,0.22,0.68,,,,
2025-10-29T15:14:09+00:00,272,211.50,0.11,49.90,16.20,0.22,0.69,,,,
2025-10-29T15:14:34+00:00,273,209.50,0.11,49.90,15.90,0.22,0.69,,,,
2025-10-29T15:14:56+00:00,274,210.10,0.11,50.00,15.90,0.22,0.69,,,,
2025-10-29T15:15:18+00:00,275,210.10,0.11,50.00,15.90,0.22,0.69,,,,
2025-10-29T15:15:41+00:00,276,210.30,0.11,50.00,15.90,0.22,0.69,,,,
2025-10-29T15:15:56+00:00,277,210.00,0.11,50.00,15.90,0.22,0.69,,,,
2025-10-29T15:16:16+00:00,278,210.20,0.11,50.00,15.90,0.22,0.69,,,,
2025-10-29T15:16:40+00:00,279,211.60,0.11,50.00,16.20,0.22,0.69,,,,
2025-10-29T15:17:04+00:00,280,212.20,0.11,50.00,16.20,0.22,0.69,,,,
2025-10-29T15:17:19+00:00,281,212.50,0.11,50.00,16.30,0.22,0.68,,,,
2025-10-29T15:17:39+00:00,282,213.50,0.11,49.90,16.50,0.22,0.68,,,,
2025-10-29T15:17:58+00:00,283,212.80,0.11,49.90,16.40,0.22,0.69,,,,
2025-10-29T15:18:21+00:00,284,212.50,0.11,50.00,16.30,0.22,0.68,,,,
2025-10-29T15:18:45+00:00,285,212.60,0.11,50.00,16.20,0.22,0.69,,,,
2025-10-29T15:19:09+00:00,286,211.20,0.11,50.00,16.00,0.22,0.69,,,,
2025-10-29T15:19:32+00:00,287,212.50,0.11,50.00,16.30,0.22,0.68,,,,
2025-10-29T15:19:55+00:00,288,211.90,0.11,50.00,16.10,0.22,0.68,,,,
2025-10-29T15:20:20+00:00,289,212.20,0.11,50.00,16.20,0.22,0.69,,,,
2025-10-29T15:20:41+00:00,290,210.80,0.11,50.00,16.00,0.22,0.69,,,,
2025-10-29T15:21:02+00:00,291,211.20,0.11,50.00,16.10,0.22,0.69,,,,
2025-10-29T15:21:24+00:00,292,210.60,0.11,50.00,16.10,0.22,0.69,,,,
2025-10-29T15:21:48+00:00,293,209.90,0.11,50.00,15.90,0.22,0.69,,,,
